source,split,image_id,image_path,md5,n_boxes,classes,has_ligature,has_weapon,is_empty_label,is_duplicate,duplicate_of,error_flag,notes
yolo_v2,train,000000000089,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000089.jpg,f4e396cc87a286b0940e6b551a2af9ba,5,weapon_bladed;weapon_bladed;weapon_bladed;weapon_bladed;weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000110,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000110.jpg,23ee9d2be85f0888240d4e88a8c49904,1,weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000113,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000113.jpg,a37a5ba2c7a2fc1a14c57967d6941b53,1,weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000127,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000127.jpg,d2f9b9a0acdb4ecc73884aefd4a201e1,1,weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000194,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000194.jpg,85fa38dbcedbe8619926b3255b25c9e2,1,weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000294,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000294.jpg,ed4db4e0c4223d6985d456f4d42f18e8,5,weapon_bladed;weapon_bladed;weapon_bladed;weapon_bladed;weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000486,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000486.jpg,64b952a0bab0afcb4c3bf6cb38918534,2,weapon_bladed;weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000711,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000711.jpg,fda770d259d32c884f513a884f489eaf,1,weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000735,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000735.jpg,760d61d4c761c03c338975aea22baec0,1,weapon_bladed,False,True,False,False,,,
yolo_v2,train,000000000790,C:\Users\Per\Downloads\smurf_social-main\DA_DL_KPDL\datasets\yolo_v2\train\images\000000000790.jpg,cb485aac4ff5291e2b40edde85aa9809,2,weapon_bladed;weapon_bladed,False,True,False,False,,,
