feature_path,video_path,violence,self_harm,nsfw
JECBfnp2ZXc_2_e1958960.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/JECBfnp2ZXc_2.avi,1.0,0.0,0.0
RETYTDF_523_4720cb6e.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/RETYTDF_523.avi,1.0,0.0,0.0
39BFeYnbu-I_7_f2d856be.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/39BFeYnbu-I_7.avi,1.0,0.0,0.0
SDFDSSDF_977_a0ee0b0c.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/SDFDSSDF_977.avi,1.0,0.0,0.0
RTHTRS_697_7218a841.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/RTHTRS_697.avi,1.0,0.0,0.0
OvDMIkTb4XU_1_6cb7cc5c.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/OvDMIkTb4XU_1.avi,1.0,0.0,0.0
ASGGSDG_183_6a1262df.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/ASGGSDG_183.avi,1.0,0.0,0.0
mwuiYEBdkJs_3_680aa58e.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/mwuiYEBdkJs_3.avi,1.0,0.0,0.0
FXC43fACfPc_1_ece54d2f.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/FXC43fACfPc_1.avi,1.0,0.0,0.0
RTHTRS_705_7e61ebaf.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/RTHTRS_705.avi,1.0,0.0,0.0
g6jdqkcdgqk_3_2e3efa69.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/g6jdqkcdgqk_3.avi,1.0,0.0,0.0
zOqs7Oh9oDM_2_99c93b28.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/zOqs7Oh9oDM_2.avi,1.0,0.0,0.0
I-QiUMPTWNE_7_ed417335.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/I-QiUMPTWNE_7.avi,1.0,0.0,0.0
zOqs7Oh9oDM_0_a7b94953.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/zOqs7Oh9oDM_0.avi,1.0,0.0,0.0
1Kbw1bUw_3_e00fd030.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/1Kbw1bUw_3.avi,1.0,0.0,0.0
y_vX9FtjLaQ_0_bcafba37.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/y_vX9FtjLaQ_0.avi,1.0,0.0,0.0
bW2vHhYbzHM_0_1f4513da.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/bW2vHhYbzHM_0.avi,1.0,0.0,0.0
trtrhrt_1040_8b983c1c.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/trtrhrt_1040.avi,1.0,0.0,0.0
RIXaF_TkLlU_3_a9202ee2.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/RIXaF_TkLlU_3.avi,1.0,0.0,0.0
Qtcwz_K2Gvo_0_245a0a70.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/Qtcwz_K2Gvo_0.avi,1.0,0.0,0.0
YDOJvzChqSg_0_f61d5321.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/YDOJvzChqSg_0.avi,1.0,0.0,0.0
nVdn1krnTCQ_4_920c30f7.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/nVdn1krnTCQ_4.avi,1.0,0.0,0.0
JECBfnp2ZXc_0_fc0bb441.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/JECBfnp2ZXc_0.avi,1.0,0.0,0.0
Q0v2MB0b_0_1c765f30.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/Q0v2MB0b_0.avi,1.0,0.0,0.0
RIXaF_TkLlU_4_1e0c8149.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/RIXaF_TkLlU_4.avi,1.0,0.0,0.0
6Rl7q_kXYbg_2_aa500dcc.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/6Rl7q_kXYbg_2.avi,1.0,0.0,0.0
nVdn1krnTCQ_3_c2911521.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/nVdn1krnTCQ_3.avi,1.0,0.0,0.0
SDFDSSDF_974_e561707f.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/SDFDSSDF_974.avi,1.0,0.0,0.0
1MVS2QPWbHc_0_ae9bf029.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/1MVS2QPWbHc_0.avi,1.0,0.0,0.0
etyiEs3j8x8_4_5bb6ed04.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/etyiEs3j8x8_4.avi,1.0,0.0,0.0
trtrhrt_1054_f4c262a0.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/trtrhrt_1054.avi,1.0,0.0,0.0
XM0NI7ZmwWM_3_ff01feda.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/XM0NI7ZmwWM_3.avi,1.0,0.0,0.0
RIXaF_TkLlU_1_7e807dd5.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/RIXaF_TkLlU_1.avi,1.0,0.0,0.0
0Ow4cotKOuw_2_6c72736d.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/0Ow4cotKOuw_2.avi,1.0,0.0,0.0
nuf-d5GugL0_4_890c4e8f.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/nuf-d5GugL0_4.avi,1.0,0.0,0.0
39BFeYnbu-I_8_33f96011.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/39BFeYnbu-I_8.avi,1.0,0.0,0.0
RTHTRS_707_e7514ff2.npy,/kaggle/input/datasets/vulamnguyen/rwf2000/RWF-2000/val/Fight/RTHTRS_707.avi,1.0,0.0,0.0
